prior_id,label,posterior_mean_m1,posterior_mean_v1,posterior_mean_m2,posterior_mean_v2,posterior_mean_rho,posterior_median_m1,posterior_median_v1,posterior_median_m2,posterior_median_v2,posterior_median_rho
P_0,Baseline,0.8583714317016721,0.016165850758770698,0.8537642735902689,0.016601928239574695,0.762241308366776,0.8586247038395627,0.016051829406323416,0.8540699736502169,0.016473346223509447,0.7629989396122345
P_1,Gamma,0.8577290765866487,0.016422500733817052,0.8529902979924315,0.016875493215621457,0.7607769897552461,0.8581211832099264,0.01632000713301631,0.8534108578455403,0.016759345867351144,0.7616224530483011
P_2,Vague,0.8590882378552719,0.01597622348344342,0.8545245985724305,0.016406218043378166,0.7637458409611103,0.8594129059285,0.01586855243340246,0.8548599800434943,0.0163014200337793,0.7643551785311707
P_3,Sparse,0.8595039047856656,0.015913228550784652,0.8549138616029478,0.016345268164632495,0.7641464088342043,0.8597685443860161,0.015799367626810293,0.8551435480783076,0.016239403658730424,0.7645238950438447
P_4,Indep.,0.8473862852702451,0.01890109067915281,0.8424360305002544,0.019399635610310547,0.7411942190974719,0.8475186059404058,0.01878279241027484,0.8426551807366767,0.01927522426700857,0.7420780697018776
P_5,Adversarial,0.8578454327789784,0.01635623342464288,0.8531676814920656,0.01680226895907381,0.7593330659845707,0.85804850546333,0.016245046057970253,0.8533423249385803,0.01669901763696852,0.7600008898484196
P_6,Strong s,0.8543873004035204,0.017575281057414776,0.8496074064826563,0.01805139411482252,0.7549760180682047,0.8546528549782972,0.017451074376239356,0.8498905209242825,0.017941598865013213,0.7556649981974579
P_7,Asym-Vague,0.8581728016753332,0.016291412493385813,0.8531453184074587,0.016770239880424122,0.7611999932854348,0.858477886301322,0.016185975867481606,0.8535118817730014,0.016656377734571466,0.7618635418135626
