prior_id,label,theta_prior,s_prior,justification,status,rho_median,rho_ci_low,rho_ci_high,elpd_loo,elpd_se,p_loo,pareto_k_max,pareto_k_bad,tail_prob_mean,tail_prob_sd,empirical_tail_prob,pr_rho_lt_0,divergences,max_rhat,min_bulk_ess,min_tail_ess,bfmi_min,bfmi_mean,delta_elpd_vs_p0
P_0,Baseline,"Dir(1, 1, 1, 1)","LN(log 4, 1)","Weakly informative, flat baseline.",ok,0.7629989396122345,0.7267028123050144,0.8001882245415549,483.88875051573217,34.707714431964625,3.0462088175650592,0.299501638045345,0,0.390625641025641,0.04276011153531535,0.4256410256410256,,0,1.0,4412.0,5865.0,0.702117754572377,0.7227749916907735,0.0
P_1,Gamma,"Dir(1, 1, 1, 1)","Gamma(4, 1)",Shape sensitivity.,ok,0.7616224530483011,0.7247517405010766,0.7980409639570516,484.1167590875318,34.58133160609723,2.9465947029473227,0.3231979033429148,0,0.3892820512820513,0.0434724702269545,0.4256410256410256,,0,1.0,4164.0,5863.0,0.6839925053889113,0.7005868943506164,0.2280085717996485
P_2,Vague,"Dir(0.5, 0.5, 0.5, 0.5)","LN(log 4, 2)","Jeffreys-like, very broad.",ok,0.7643551785311707,0.7260443485687421,0.8009407547091558,483.9392575320485,34.83853602568145,3.233081325252442,0.346496985078564,0,0.39331794871794873,0.04145180182442243,0.4256410256410256,,0,1.0,3827.0,5506.0,0.6325727420172773,0.7195310291976109,0.05050701631631682
P_3,Sparse,"Dir(0.1, 0.1, 0.1, 0.1)","LN(log 4, 1)",Favors extreme or polarized values.,ok,0.7645238950438447,0.7275624706334052,0.8000256441724231,483.4473898272433,34.824281410949524,3.255413018340164,0.22839149247327703,0,0.39216923076923077,0.043383172018736794,0.4256410256410256,,0,1.0,4243.0,5570.0,0.6630412265836179,0.686911942035457,-0.441360688488885
P_4,Indep.,"Dir(10, 10, 10, 10)","LN(log 4, 1)",Bias toward zero correlation.,ok,0.7420780697018776,0.7009935087399775,0.7773916694609382,487.5336921242277,33.15539158831329,2.779721962795236,0.31265026126427153,0,0.3627128205128205,0.04359028983392604,0.4256410256410256,,0,1.0,3269.0,4715.0,0.6350054249358421,0.6683429040313571,3.6449416084955146
P_5,Adversarial,"Dir(1, 2, 2, 1)","LN(log 4, 1)",Bias toward negative correlation.,ok,0.7600008898484196,0.7238048044805218,0.7978765286234629,484.58850166176546,34.60178562821225,2.9698446994869983,0.2919014679240499,0,0.39132307692307694,0.04326707734670153,0.4256410256410256,,0,1.0,4515.0,5675.0,0.6837092948428857,0.7094551385053702,0.699751146033293
P_6,Strong s,"Dir(1, 1, 1, 1)","LN(log 4, 0.2)",Low variance on concentration.,ok,0.7556649981974579,0.717114497298415,0.790999723930359,481.92550177257567,34.228876692250886,2.6928451500376696,0.37654081244583937,0,0.383174358974359,0.04128853647479436,0.4256410256410256,,0,1.0,3807.0,5056.0,0.6770500919666733,0.7211331862467955,-1.9632487431564982
P_7,Asym-Vague,"Dir(1, 2, 0.5, 1)","Gamma(2, 0.5)",Asymmetric and highly broad.,ok,0.7618635418135626,0.7243919084548879,0.798324227553688,483.7488156079887,34.638134569220234,3.016939656312843,0.3688182403680413,0,0.39034358974358974,0.04204707219000095,0.4256410256410256,,0,1.0,3448.0,5180.0,0.6379990428941624,0.6700069982678206,-0.13993490774345219
