prior_id,label,theta_prior,s_prior,justification,status,rho_median,rho_ci_low,rho_ci_high,elpd_loo,elpd_se,p_loo,pareto_k_max,pareto_k_bad,tail_prob_mean,tail_prob_sd,empirical_tail_prob,pr_rho_lt_0,divergences,max_rhat,min_bulk_ess,min_tail_ess,bfmi_min,bfmi_mean,delta_elpd_vs_p0
P_0,Baseline,"Dir(1, 1, 1, 1)","LN(log 4, 1)","Weakly informative, flat baseline.",ok,0.3836171292369728,0.27615969515822925,0.4818770633414543,795.3523654993993,48.910900802459324,844.5131479233211,3.105226457043388,2,0.6398450704225351,0.06950573983441255,0.704225352112676,0.0,0,1.0,4908.0,5764.0,0.7466516140562864,0.7698571303267969,0.0
P_1,Gamma,"Dir(1, 1, 1, 1)","Gamma(4, 1)",Shape sensitivity.,ok,0.382080959613802,0.2814926490957816,0.4865452120150369,797.0901970101955,49.384617254024484,843.3340292882109,2.519120345351959,2,0.6334225352112676,0.07334687459715024,0.704225352112676,0.0,0,1.0,3788.0,4859.0,0.8092828552096086,0.8181914625183546,1.7378315107962408
P_2,Vague,"Dir(0.5, 0.5, 0.5, 0.5)","LN(log 4, 2)","Jeffreys-like, very broad.",ok,0.38294361310267755,0.28365363476890454,0.48938333754126717,795.7702030803118,48.98931562464108,844.687902820473,2.8934045744899497,2,0.6528732394366198,0.06937952820916751,0.704225352112676,0.0,0,1.0,4026.0,5644.0,0.7465781131415689,0.7767275635160783,0.41783758091253276
P_3,Sparse,"Dir(0.1, 0.1, 0.1, 0.1)","LN(log 4, 1)",Favors extreme or polarized values.,ok,0.38284641505876454,0.28475255882085576,0.486429899484992,799.6963404143952,50.41340171729752,840.3179965946748,2.843773601049934,2,0.6547605633802818,0.07037861281668288,0.704225352112676,0.0,0,1.0,4091.0,4995.0,0.7918634700448794,0.8024806999292923,4.343974914995897
P_4,Indep.,"Dir(10, 10, 10, 10)","LN(log 4, 1)",Bias toward zero correlation.,ok,0.3583235562252247,0.25987208799476136,0.4547971329914931,787.3303375159051,47.88962887556334,842.9145430483393,2.7895976050236837,2,0.4833521126760563,0.07063914578254418,0.704225352112676,0.0,0,1.0,4849.0,5524.0,0.7621694926312329,0.767934595719217,-8.02202798349424
P_5,Adversarial,"Dir(1, 2, 2, 1)","LN(log 4, 1)",Bias toward negative correlation.,ok,0.3736769917857793,0.26845682919414143,0.47389173854943595,788.8164866118657,47.20382684715892,851.2594174131323,3.759399743467643,2,0.6288169014084507,0.07388421782601204,0.704225352112676,0.0,0,1.0,4366.0,5853.0,0.7460303517101664,0.760336910778694,-6.535878887533613
P_6,Strong s,"Dir(1, 1, 1, 1)","LN(log 4, 0.2)",Low variance on concentration.,ok,0.3798974350622638,0.28284627951251834,0.4872931695496356,800.5094957354182,50.3854079480888,843.0465343903655,2.638924642757453,2,0.6255774647887324,0.06629764791935819,0.704225352112676,0.0,0,1.0,4103.0,5363.0,0.7553003525760581,0.7757977003792207,5.157130236018929
P_7,Asym-Vague,"Dir(1, 2, 0.5, 1)","Gamma(2, 0.5)",Asymmetric and highly broad.,ok,0.3782546038613325,0.27430219065334915,0.47586922236489376,798.1542583633726,49.66197079810437,843.1811889843947,2.654884564572586,2,0.6336619718309859,0.0704153445552779,0.704225352112676,0.0,0,1.0,3592.0,4832.0,0.7927586330816083,0.8136840527343221,2.8018928639733076
