prior_id,label,posterior_mean_m1,posterior_mean_v1,posterior_mean_m2,posterior_mean_v2,posterior_mean_rho,posterior_median_m1,posterior_median_v1,posterior_median_m2,posterior_median_v2,posterior_median_rho
P_0,Baseline,0.9211161739860665,0.01253658874991273,0.935680436888329,0.010398559189320098,0.3840273913163934,0.9219122410819599,0.012152222190487533,0.9365347337334988,0.010048579026257415,0.3836171292369728
P_1,Gamma,0.9199050055513412,0.012949033787914932,0.9346217093057079,0.010752652114681547,0.3823196615333108,0.9207172398791144,0.012546964998346219,0.935462305173311,0.010395869675964606,0.382080959613802
P_2,Vague,0.9230668923593331,0.012006645771221364,0.9373431524768805,0.009944111765218526,0.38289301739976295,0.9239268406603698,0.011584090764636554,0.9381323116302998,0.009578105062075697,0.38294361310267755
P_3,Sparse,0.9247487356383222,0.011585346011888077,0.9386831469116206,0.009593227607244159,0.3829844182718392,0.9256725307738409,0.011174187863227592,0.9394296067154149,0.00926431466415057,0.38284641505876454
P_4,Indep.,0.8647667835917149,0.03174318752279978,0.8858165420283115,0.02749919321451909,0.3576829230619434,0.8666376574299667,0.03077190595234467,0.8873081071481428,0.026684990026963562,0.3583235562252247
P_5,Adversarial,0.9182599291852828,0.013370804427828122,0.9330759738799392,0.011135911313973988,0.3746258092835712,0.9193033036332012,0.012942273357114226,0.9339270955160405,0.010750147440015678,0.3736769917857793
P_6,Strong s,0.9168923957350298,0.013922866513817876,0.9318326651568317,0.011616205718646706,0.3800491056001715,0.9177145373791675,0.013581700956009569,0.9326562718224707,0.011311751340576185,0.3798974350622638
P_7,Asym-Vague,0.9207559057494695,0.012799230733531945,0.9342417813858014,0.010788943800380302,0.3785983286923251,0.921702785953707,0.012365547549703974,0.9351156745937426,0.010396522718208453,0.3782546038613325
