case_id,case_label,model,model_label,n_observed,reference_size_M,energy_variant,energy_statistic,p_value,perm_null_mean,perm_null_sd,energy_z_score,p_value_mcse,parameter_json,fit_metadata_json,obs_m1,obs_m2,obs_v1,obs_v2,obs_rho,fit_m1,fit_m2,fit_v1,fit_v2,fit_rho,ref_m1,ref_m2,ref_v1,ref_v2,ref_rho,alpha_1,alpha_2,alpha_3,alpha_4,mu_1,mu_2,sigma_1,sigma_2,rho
caseA,Case A: share of immunized children,beta_bayes_mean,Bayesian BB Mean,195,10000,v,0.002076425574745716,0.094,0.00108959746107328,0.0007411090074802371,1.3315559551705969,0.009228434320078352,"{""alpha_1"": 5.439546505, ""alpha_2"": 0.206525294125, ""alpha_3"": 0.176205537375, ""alpha_4"": 0.751272938625}","{""adapt_delta"": 0.95, ""chains"": 4, ""estimator"": ""CmdStan sample (mean)"", ""iter_sampling"": 2000, ""iter_warmup"": 2000, ""prior_family"": ""lognormal"", ""s_prior"": {""family"": ""lognormal"", ""mu_log_scale"": 4.0, ""sd_log_scale"": 1.0}, ""simulation_alpha_clipped"": false, ""simulation_alpha_floor"": 1e-08, ""theta_prior"": [1.0, 1.0, 1.0, 1.0]}",0.8654872002376152,0.858871794871795,0.01685553729319297,0.019965906640368174,0.85493038606162,0.8589075252820876,0.8542951384468134,0.016001133404225994,0.01643548274602282,0.763149533481933,0.8569751758722841,0.8522124514915173,0.016423195738067786,0.01662759645157017,0.772743689266684,5.439546505,0.206525294125,0.176205537375,0.751272938625,,,,,
caseA,Case A: share of immunized children,beta_bayes_median,Bayesian BB Median,195,10000,v,0.0018230042126681778,0.121,0.001060357237310417,0.0007620635277327905,1.0007656141554766,0.010313049985334114,"{""alpha_1"": 5.4265550000000005, ""alpha_2"": 0.20576, ""alpha_3"": 0.1755535, ""alpha_4"": 0.749702}","{""adapt_delta"": 0.95, ""chains"": 4, ""estimator"": ""CmdStan sample (median)"", ""iter_sampling"": 2000, ""iter_warmup"": 2000, ""prior_family"": ""lognormal"", ""s_prior"": {""family"": ""lognormal"", ""mu_log_scale"": 4.0, ""sd_log_scale"": 1.0}, ""simulation_alpha_clipped"": false, ""simulation_alpha_floor"": 1e-08, ""theta_prior"": [1.0, 1.0, 1.0, 1.0]}",0.8654872002376152,0.858871794871795,0.01685553729319297,0.019965906640368174,0.85493038606162,0.8589026987967571,0.8542963434399982,0.016035424717030983,0.016470121056104858,0.7634539416976797,0.860330688426239,0.8543873950228285,0.01588057668639781,0.01625871180716271,0.7458759093577358,5.4265550000000005,0.20576,0.1755535,0.749702,,,,,
caseA,Case A: share of immunized children,bln_bayes,Bayesian BLN,195,10000,v,0.0006598591529278219,0.695,0.0011284732003894384,0.0008361076808955048,-0.5604709269017133,0.014559361249725209,"{""mu_1"": 2.36341716, ""mu_2"": 2.33036795625, ""rho"": 0.816103082, ""sigma_1"": 1.26040798125, ""sigma_2"": 1.3124110075000002}","{""chains"": 4, ""estimator"": ""CmdStan sample (mean)"", ""iter_sampling"": 2000, ""iter_warmup"": 1000, ""use_priors"": 1}",0.8654872002376152,0.858871794871795,0.01685553729319297,0.019965906640368174,0.85493038606162,0.8643665700959449,0.8578072721376687,0.019394750670005546,0.021834252688283828,0.7833083714473543,0.8643665700959449,0.8578072721376687,0.019394750670005546,0.021834252688283828,0.7833083714473543,,,,,2.36341716,2.33036795625,1.26040798125,1.3124110075000002,0.816103082
caseA,Case A: share of immunized children,mom_closed,MoM-Closed BB,195,10000,v,0.000898482651406407,0.427,0.001051565893074771,0.0008051699698997907,-0.19012537377330518,0.015641962792437524,"{""alpha_1"": 4.990722532247457, ""alpha_2"": 0.12160306302033565, ""alpha_3"": 0.08252668365219569, ""alpha_4"": 0.7120237486679754}","{""estimator"": ""method_moments_estimator_1"", ""simulation_alpha_clipped"": false, ""simulation_alpha_floor"": 1e-08}",0.8654872002376152,0.858871794871795,0.01685553729319297,0.019965906640368174,0.85493038606162,0.8654872002376152,0.858871794871795,0.01685553729319297,0.017549328286963033,0.8549303860616199,0.8659555221323731,0.8581439844097487,0.01644669452555197,0.01749848866870882,0.8564696462603647,4.990722532247457,0.12160306302033565,0.08252668365219569,0.7120237486679754,,,,,
caseA,Case A: share of immunized children,mom_nls,MoM-NLS BB,195,10000,v,0.0007538706600628553,0.547,0.0010856204225797557,0.0007840882788100635,-0.423102565182154,0.015741378592740853,"{""alpha_1"": 4.600173226335169, ""alpha_2"": 0.11281858697175473, ""alpha_3"": 0.07536808618337944, ""alpha_4"": 0.6562653215888272}","{""estimator"": ""method_moments_estimator_4"", ""simulation_alpha_clipped"": false, ""simulation_alpha_floor"": 1e-08}",0.8654872002376152,0.858871794871795,0.01685553729319297,0.019965906640368174,0.85493038606162,0.8656228155172825,0.8587443804978466,0.018049142158453983,0.018822268991602376,0.8549304661819891,0.8669549563378061,0.8616053035739957,0.017919749013535578,0.018465681560892414,0.8408255046925738,4.600173226335169,0.11281858697175473,0.07536808618337944,0.6562653215888272,,,,,
caseA,Case A: share of immunized children,mle,MLE BLN,195,10000,v,0.0006635409272235937,0.723,0.0011638672160641877,0.0008049222109769815,-0.6215834044531273,0.014151713677148785,"{""mu_1"": 2.362404628860547, ""mu_2"": 2.3303950230014987, ""rho"": 0.820291852350124, ""sigma_1"": 1.2523166277529572, ""sigma_2"": 1.3036156752973784}","{""covariance_ddof"": 0, ""estimator"": ""closed-form logistic-normal MLE"", ""use_priors"": 0}",0.8654872002376152,0.858871794871795,0.01685553729319297,0.019965906640368174,0.85493038606162,0.8627780650670158,0.8558088834842535,0.019407915111408453,0.022004164326138942,0.7911256374647028,0.8627780650670158,0.8558088834842535,0.019407915111408453,0.022004164326138942,0.7911256374647028,,,,,2.362404628860547,2.3303950230014987,1.2523166277529572,1.3036156752973784,0.820291852350124
