case_id,case_label,model,model_label,n_observed,reference_size_M,energy_variant,energy_statistic,p_value,perm_null_mean,perm_null_sd,energy_z_score,p_value_mcse,parameter_json,fit_metadata_json,obs_m1,obs_m2,obs_v1,obs_v2,obs_rho,fit_m1,fit_m2,fit_v1,fit_v2,fit_rho,ref_m1,ref_m2,ref_v1,ref_v2,ref_rho,alpha_1,alpha_2,alpha_3,alpha_4,a1,b1,a2,b2,mu_1,mu_2,sigma_1,sigma_2,rho
caseB,Case B: ANVISA COVID-19 diagnostic tests,beta_bayes_mean,Bayesian BB Mean,71,10000,v,0.006453550239704564,0.0176,0.002163141074760663,0.0013989499343769057,3.0668782752314696,0.0018595827488982577,"{""alpha_1"": 4.30346036625, ""alpha_2"": 0.16211892105, ""alpha_3"": 0.228479162625, ""alpha_4"": 0.1472004707375}","{""adapt_delta"": 0.99, ""chains"": 4, ""estimator"": ""CmdStan sample (mean)"", ""iter_sampling"": 2000, ""iter_warmup"": 2000, ""prior_family"": ""lognormal"", ""s_prior"": {""family"": ""lognormal"", ""mu_log_scale"": 4.0, ""sd_log_scale"": 1.0}, ""simulation_alpha_clipped"": false, ""simulation_alpha_floor"": 1e-08, ""theta_prior"": [1.0, 1.0, 1.0, 1.0]}",0.9468212031411988,0.9428759705297215,0.004221340661257006,0.01728194526291455,-0.18686242552709761,0.9224004252779997,0.9361076536379154,0.012253844881241243,0.010239250690782327,0.3889256258929324,0.9221172982217241,0.938156839048791,0.012314738065171256,0.009777455011156785,0.390668383327453,4.30346036625,0.16211892105,0.228479162625,0.1472004707375,,,,,,,,,
caseB,Case B: ANVISA COVID-19 diagnostic tests,beta_bayes_median,Bayesian BB Median,71,10000,v,0.006400863054909001,0.019,0.0021578064749188824,0.0013649566720660728,3.1085650289976106,0.0019307511491644903,"{""alpha_1"": 4.258625, ""alpha_2"": 0.1602965, ""alpha_3"": 0.22669299999999998, ""alpha_4"": 0.146024}","{""adapt_delta"": 0.99, ""chains"": 4, ""estimator"": ""CmdStan sample (median)"", ""iter_sampling"": 2000, ""iter_warmup"": 2000, ""prior_family"": ""lognormal"", ""s_prior"": {""family"": ""lognormal"", ""mu_log_scale"": 4.0, ""sd_log_scale"": 1.0}, ""simulation_alpha_clipped"": false, ""simulation_alpha_floor"": 1e-08, ""theta_prior"": [1.0, 1.0, 1.0, 1.0]}",0.9468212031411988,0.9428759705297215,0.004221340661257006,0.01728194526291455,-0.18686242552709761,0.9222151253689109,0.9360718676920222,0.012385853832160773,0.010332365565908752,0.38923495361971383,0.9234639252429815,0.9363019493883097,0.012010032924950256,0.010053404253563098,0.40459683943108576,4.258625,0.1602965,0.22669299999999998,0.146024,,,,,,,,,
caseB,Case B: ANVISA COVID-19 diagnostic tests,ind_beta_mle,Independent Beta,71,10000,v,0.005052468837524915,0.0282,0.0019631929596811695,0.0012197461141721716,2.5327204074822434,0.0023411433104361637,"{""a1"": 7.133489509492127, ""a2"": 4.4257205567332765, ""b1"": 0.39183776020537153, ""b2"": 0.3026087156673907}","{""estimator"": ""independent_beta_mle""}",0.9468212031411988,0.9428759705297215,0.004221340661257006,0.01728194526291455,-0.18686242552709761,0.947930801390765,0.9360009216291847,0.005789572130663605,0.010457359116403756,0.0,0.9484586710932241,0.9354904509934274,0.005674564900559649,0.011154882775310121,0.006683234958361491,,,,,7.133489509492127,0.39183776020537153,4.4257205567332765,0.3026087156673907,,,,,
caseB,Case B: ANVISA COVID-19 diagnostic tests,bln_bayes,Bayesian BLN,71,10000,v,0.010459594767658481,0.0122,0.0031380870560876245,0.0021561444604896087,3.395648038588597,0.0015524921899964586,"{""mu_1"": 4.48345254875, ""mu_2"": 4.8206172475, ""rho"": 0.0750065791885375, ""sigma_1"": 2.8717681112499998, ""sigma_2"": 2.7331644287500003}","{""chains"": 4, ""estimator"": ""CmdStan sample (mean)"", ""iter_sampling"": 2000, ""iter_warmup"": 1000, ""use_priors"": 1}",0.9468212031411988,0.9428759705297215,0.004221340661257006,0.01728194526291455,-0.18686242552709761,0.9078396432458674,0.9313849883711051,0.03427170815226356,0.023392567001777356,0.049263790841388724,0.9078396432458674,0.9313849883711051,0.03427170815226356,0.023392567001777356,0.049263790841388724,,,,,,,,,4.48345254875,4.8206172475,2.8717681112499998,2.7331644287500003,0.0750065791885375
caseB,Case B: ANVISA COVID-19 diagnostic tests,mom_closed,MoM-Closed BB,71,10000,v,0.006902199762372371,0.0016,0.0015136916655842107,0.0008842071365507306,6.094169417942524,0.0005652326954449822,"{""alpha_1"": 9.722328507251072, ""alpha_2"": 0.6242332746505516, ""alpha_3"": 0.581121024076527, ""alpha_4"": 0.0}","{""estimator"": ""method_moments_estimator_1"", ""simulation_alpha_clipped"": true, ""simulation_alpha_floor"": 1e-08}",0.9468212031411988,0.9428759705297215,0.004221340661257006,0.01728194526291455,-0.18686242552709761,0.9468212031411988,0.9428759705297215,0.004221340661257001,0.0045156193037227815,-0.058333414683278254,0.946953705064623,0.9421133644050609,0.004341591207194823,0.004518223676481587,-0.07167457824549263,9.722328507251072,0.6242332746505516,0.581121024076527,0.0,,,,,,,,,
caseB,Case B: ANVISA COVID-19 diagnostic tests,mom_nls,MoM-NLS BB,71,10000,v,0.03617800914729233,0.0002,0.0024655030744076918,0.0014411955425084747,23.392041575992007,0.00019997999899989998,"{""alpha_1"": 5.884594216552932, ""alpha_2"": 0.7597588976858165, ""alpha_3"": 0.732663195480167, ""alpha_4"": 0.0}","{""estimator"": ""method_moments_estimator_4"", ""simulation_alpha_clipped"": true, ""simulation_alpha_floor"": 1e-08}",0.9468212031411988,0.9428759705297215,0.004221340661257006,0.01728194526291455,-0.18686242552709761,0.9006829909654784,0.897010001633741,0.010678401168585039,0.01102815790099336,-0.11251870323063512,0.9002057917391639,0.8982859945400813,0.01098557380911802,0.010670677609226365,-0.10788159927839015,5.884594216552932,0.7597588976858165,0.732663195480167,0.0,,,,,,,,,
caseB,Case B: ANVISA COVID-19 diagnostic tests,mle,MLE BLN,71,10000,v,0.01070517715249944,0.0152,0.003232630852249886,0.002256605681061998,3.3114098575792976,0.001730257784262218,"{""mu_1"": 4.514933483380281, ""mu_2"": 4.8410575385574255, ""rho"": 0.07963512687491578, ""sigma_1"": 2.8255886592390307, ""sigma_2"": 2.6872469831568457}","{""covariance_ddof"": 0, ""estimator"": ""closed-form logistic-normal MLE"", ""use_priors"": 0}",0.9468212031411988,0.9428759705297215,0.004221340661257006,0.01728194526291455,-0.18686242552709761,0.9096054886854006,0.9316705993802094,0.034144842612038165,0.02319400505889679,0.059679550842871534,0.9096054886854006,0.9316705993802094,0.034144842612038165,0.02319400505889679,0.059679550842871534,,,,,,,,,4.514933483380281,4.8410575385574255,2.8255886592390307,2.6872469831568457,0.07963512687491578
