county_fips,share_dem_20,share_dem_24
1001,0.274423027687356,0.2664112022347169
1003,0.22731728972826992,0.20652353974091375
1005,0.461391071086415,0.4258500614502253
1007,0.208810850594049,0.17615058209117615
1009,0.09652297905012613,0.09223057644110276
1011,0.7504355400696864,0.730411361410382
1013,0.420778945134246,0.38596699513237565
1015,0.30240276646063957,0.27426932191410636
1017,0.4210212991136394,0.38289883819778975
1019,0.1330384205783567,0.12028502827046704
1021,0.16040296481887462,0.13752676113773066
1023,0.42125825138084333,0.38002417648836506
1025,0.44001835002676043,0.4143121426168853
1027,0.18447874199184625,0.14761409246320797
1029,0.09428691157982959,0.07967865138943764
1031,0.23098976109215016,0.20822773352643012
1033,0.30287519059028534,0.2658001564187554
1035,0.46285892634207243,0.42978510744627685
1037,0.33093790307720655,0.2822765469824293
1039,0.15721962211821805,0.13618974751338944
1041,0.258988421694089,0.2256465851014403
1043,0.10827409449199671,0.0944950050300634
1045,0.2654958147178144,0.23649789029535864
1047,0.6888588487101498,0.6635550369506029
1049,0.14737675571467915,0.1278622707631588
1051,0.25577952678196936,0.23753280839895013
1053,0.31152213846836,0.26697198275862066
1055,0.245609937360654,0.21950525394045534
1057,0.1604370327774583,0.13759036144578313
1059,0.16738886214090837,0.1308302044221944
1061,0.12818452141766454,0.11290584415584416
1063,0.8161378440848918,0.7797411647585863
1065,0.5950234860987685,0.5344756114412049
1067,0.28286117442743947,0.24459576307825334
1069,0.2836719007356978,0.2590538782775382
1071,0.15893445076324453,0.14030579468071439
1073,0.5668344091523129,0.5528398724572442
1075,0.13674496644295303,0.11785348735195204
1077,0.2730543587863232,0.23994980712924663
1079,0.22425081843364392,0.18635596926344725
1081,0.39753998944078994,0.35921356762928514
1083,0.2829938731578076,0.2779027216589159
1085,0.7303172737955347,0.6874666666666667
1087,0.8218291131922766,0.7834148853978883
1089,0.4592404743615376,0.4544485495772403
1091,0.5066937494229526,0.4810928734676917
1093,0.10703833772314895,0.08904924862371671
1095,0.1518628302754638,0.13887013279315777
1097,0.4397704698506505,0.41695117293737777
1099,0.4202037351443124,0.3837078075305222
1101,0.6595359771054783,0.6553272338644923
1103,0.2501795909108095,0.2345148653507693
1105,0.7424504712444701,0.7143821742066172
1107,0.418261231281198,0.38269513159381
1109,0.4120485451089341,0.37331402880438924
1111,0.20470172830328934,0.17419706042460534
1113,0.5323345344206334,0.508390243902439
1115,0.1763607378729219,0.1770937159546603
1117,0.2944904751788117,0.29344673755908934
1119,0.7441562600064041,0.707233719384849
1121,0.37141322477595906,0.33026244014788775
1123,0.2813850734799731,0.25051613877838763
1125,0.42488917891136563,0.39702578367390606
1127,0.1567648203398625,0.13874044510586483
1129,0.2559510315121288,0.22186495176848875
1131,0.6883183132120387,0.6579549790156429
1133,0.08720565851911541,0.07981941309255079
4001,0.6705916222829998,0.5959516215618783
4003,0.4002766111757662,0.3828822640472592
4005,0.6229686411149826,0.6008106543138391
4007,0.32734260614934113,0.3103083378945448
4009,0.27288101197321246,0.2570459984046796
4011,0.3269709543568465,0.29245861434702636
4012,0.3035980991174474,0.27750627394003435
4013,0.5110754606447824,0.48239888124665586
4015,0.24022405820095583,0.21938887066797857
4017,0.4581308777429467,0.41314647449934305
4019,0.5948074946512748,0.5766891005858585
4021,0.4122558087198037,0.3885500669614899
4023,0.6795985930064142,0.5940202488926387
4025,0.35146568033501263,0.3290288593369039
4027,0.4685499825439311,0.3969778593417002
5001,0.29696177719699446,0.2755775577557756
5003,0.2769451322820279,0.2563954328660211
5005,0.22641785941087392,0.21078955035447217
5007,0.3635448396922918,0.36144896034777607
5009,0.18329743957884662,0.16965878016882655
5011,0.3420681882220344,0.3027725267800882
5013,0.2264775413711584,0.18460789089137847
5015,0.35144579365772693,0.3378833540152455
5017,0.5633100697906281,0.519976838448176
5019,0.4268686367022598,0.39532398129592516
5021,0.19057052297939778,0.18605128205128205
5023,0.16141604417018512,0.15483407785577535
5025,0.18504832291074474,0.15745192307692307
5027,0.3384652393553043,0.31482190731520493
5029,0.3147189794199061,0.2935746823303764
5031,0.31807145334720777,0.308288872999285
5033,0.21043028091318,0.20339780896953097
5035,0.5372625733577333,0.5116052814454483
5037,0.2637689788627568,0.25676309616888193
5039,0.3797318611987382,0.35
5041,0.5120650241300483,0.4757478942782457
5043,0.3580811808118081,0.32784263553494325
5045,0.3476917828987265,0.33425596414920256
